id,size,animacy,label
1,big,animate,big/animate/object001
2,big,animate,big/animate/object002
3,big,animate,big/animate/object003
4,big,animate,big/animate/object004
5,big,animate,big/animate/object005
6,big,animate,big/animate/object006
7,big,animate,big/animate/object007
8,big,animate,big/animate/object008
9,big,animate,big/animate/object009
10,big,animate,big/animate/object010
11,big,animate,big/animate/object011
12,big,animate,big/animate/object012
13,big,animate,big/animate/object013
14,big,animate,big/animate/object014
15,big,animate,big/animate/object015
16,big,inanimate,big/inanimate/object016
17,big,inanimate,big/inanimate/object017
18,big,inanimate,big/inanimate/object018
19,big,inanimate,big/inanimate/object019
20,big,inanimate,big/inanimate/object020
21,big,inanimate,big/inanimate/object021
22,big,inanimate,big/inanimate/object022
23,big,inanimate,big/inanimate/object023
24,big,inanimate,big/inanimate/object024
25,big,inanimate,big/inanimate/object025
26,big,inanimate,big/inanimate/object026
27,big,inanimate,big/inanimate/object027
28,big,inanimate,big/inanimate/object028
29,big,inanimate,big/inanimate/object029
30,big,inanimate,big/inanimate/object030
31,small,animate,small/animate/object031
32,small,animate,small/animate/object032
33,small,animate,small/animate/object033
34,small,animate,small/animate/object034
35,small,animate,small/animate/object035
36,small,animate,small/animate/object036
37,small,animate,small/animate/object037
38,small,animate,small/animate/object038
39,small,animate,small/animate/object039
40,small,animate,small/animate/object040
41,small,animate,small/animate/object041
42,small,animate,small/animate/object042
43,small,animate,small/animate/object043
44,small,animate,small/animate/object044
45,small,animate,small/animate/object045
46,small,inanimate,small/inanimate/object046
47,small,inanimate,small/inanimate/object047
48,small,inanimate,small/inanimate/object048
49,small,inanimate,small/inanimate/object049
50,small,inanimate,small/inanimate/object050
51,small,inanimate,small/inanimate/object051
52,small,inanimate,small/inanimate/object052
53,small,inanimate,small/inanimate/object053
54,small,inanimate,small/inanimate/object054
55,small,inanimate,small/inanimate/object055
56,small,inanimate,small/inanimate/object056
57,small,inanimate,small/inanimate/object057
58,small,inanimate,small/inanimate/object058
59,small,inanimate,small/inanimate/object059
60,small,inanimate,small/inanimate/object060
